,subject,session,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift
5576,12_C03,12,33,315.969408821428,-0.005784211436245634,0.03766304165064582,1.0,1,0,-0.106816491436244,-0.05502,0.0,0.316312190031536,0.10103227999999836,-0.01466038045404705
5577,12_C03,12,34,305.150564558094,-0.034840092284582624,-0.05186292671743331,1.0,1,0,-0.0487545722845836,-3.47716,0.0,0.316312190031536,0.013914480000000978,-0.005784211436245634
5578,12_C03,12,35,355.328019706833,0.1522360529360851,0.13712784539440737,1.0,-1,1,0.124677063936087,12.39458,112.394584093037,0.0,0.027558988999998105,-0.034840092284582624
5579,12_C03,12,36,382.681048401735,0.07416050841140809,-0.04409574441492925,-1.0,-1,0,-0.0230031515885931,12.39458,112.394584093037,0.0,0.09716366000000119,0.1522360529360851
5580,12_C03,12,37,361.434824151964,-0.057120137894739464,-0.08926871595308583,-1.0,-1,0,-0.105263157894737,12.39458,112.394584093037,0.0,0.04814301999999754,0.07416050841140809
5581,12_C03,12,38,403.804559380437,0.11084926445802346,-0.046537315510445154,-1.0,-1,0,0.0379803544580227,12.39458,112.394584093037,0.0,0.07286891000000076,-0.057120137894739464
5582,12_C03,12,39,460.230291084079,0.13079600000000102,-0.08742799136155899,-1.0,-1,0,0.0,12.39458,112.394584093037,0.0,0.13079600000000102,0.11084926445802346
5583,12_C03,12,40,435.417551460393,-0.055421537894736694,-0.09147228572241595,-1.0,-1,0,-0.105263157894737,12.39458,112.394584093037,0.0,0.04984162000000031,0.13079600000000102
5584,12_C03,12,41,431.210198029904,-0.009709789442326588,-0.16280245346682332,-1.0,1,1,0.0138227905576742,12.39458,0.0,0.260649179000267,-0.02353258000000079,-0.055421537894736694
5585,12_C03,12,42,468.984466560406,0.08397397789473615,-0.12642441694233497,1.0,1,0,0.105263157894737,22.24042,0.0,0.260649179000267,-0.02128918000000085,-0.009709789442326588
5586,12_C03,12,43,464.851755141302,-0.008851098947367575,-0.08678443886989484,1.0,1,0,-0.0526315789473684,21.16323,0.0,0.260649179000267,0.04378048000000082,0.08397397789473615
5587,12_C03,12,44,515.942616104064,0.1042770015865857,-0.05494382169782863,1.0,1,0,0.0620071415865855,34.48002,0.0,0.260649179000267,0.04226986000000021,-0.008851098947367575
