,session,subject,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift,hatr_shift
28,5,5_B02,1,205.748251178524,0.7214831537931055,0.4700036292457348,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4054651081081637,0.4054651081081637
29,5,5_B03,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.4700036292457348,0.4700036292457348
30,5,5_B04,1,205.748251178524,0.7214831537931055,0.4054651081081637,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,,
31,5,5_B05,1,205.748251178524,0.7214831537931055,0.5007752879124885,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4054651081081637,0.4054651081081637
32,5,5_B06,1,205.748251178524,0.7214831537931055,0.5306282510621703,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5007752879124885,0.5007752879124885
33,5,5_B07,1,205.748251178524,0.7214831537931055,0.4700036292457348,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.5306282510621703,0.5306282510621703
34,5,5_B08,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.4700036292457348,0.4700036292457348
35,5,5_C01,1,205.748251178524,0.7214831537931055,0.182321556793954,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,,
36,5,5_C02,1,205.748251178524,0.7214831537931055,0.5306282510621703,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.182321556793954,0.182321556793954
37,5,5_C03,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.5306282510621703,0.5306282510621703
38,5,5_C04,1,205.748251178524,0.7214831537931055,0.4054651081081637,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,,
39,5,5_C05,1,205.748251178524,0.7214831537931055,0.5306282510621703,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4054651081081637,0.4054651081081637
40,5,5_C06,1,205.748251178524,0.7214831537931055,0.5306282510621703,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5306282510621703,0.5306282510621703
41,5,5_C07,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.5306282510621703,0.5306282510621703
42,5,5_C08,1,205.748251178524,0.7214831537931055,-0.35667494393873245,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,,
43,5,5_D01,1,205.748251178524,0.7214831537931055,,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,-0.35667494393873245,-0.35667494393873245
44,5,5_D02,1,205.748251178524,0.7214831537931055,0.5007752879124885,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,,
45,5,5_D03,1,205.748251178524,0.7214831537931055,0.4700036292457348,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5007752879124885,0.5007752879124885
46,5,5_D04,1,205.748251178524,0.7214831537931055,0.6418538861723944,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4700036292457348,0.4700036292457348
47,5,5_D05,1,205.748251178524,0.7214831537931055,0.5128236264286636,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.6418538861723944,0.6418538861723944
48,5,5_D06,1,205.748251178524,0.7214831537931055,0.4054651081081637,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.5128236264286636,0.5128236264286636
49,5,5_D07,1,205.748251178524,0.7214831537931055,0.4700036292457348,-1.0,1,1,0.655172413793103,0.0,0.0,0.486030862606128,0.06631074000000248,0.4054651081081637,0.4054651081081637
50,5,5_D08,1,205.748251178524,0.7214831537931055,0.33647223662121206,-1.0,-1,0,0.655172413793103,0.0,100.0,0.0,0.06631074000000248,0.4700036292457348,0.4700036292457348
51,8,8_A02,1,234.438949733225,0.8520250257142861,0.5877866649021186,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.33647223662121206,0.33647223662121206
52,8,8_A03,1,234.438949733225,0.8520250257142861,0.4054651081081637,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5877866649021186,0.5877866649021186
53,8,8_A04,1,234.438949733225,0.8520250257142861,0.5877866649021186,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.4054651081081637,0.4054651081081637
54,8,8_A05,1,234.438949733225,0.8520250257142861,0.4700036292457348,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.5877866649021186,0.5877866649021186
55,8,8_A06,1,234.438949733225,0.8520250257142861,0.4700036292457348,-1.0,1,1,0.785714285714286,0.0,0.0,0.426550281486046,0.06631074000000003,0.4700036292457348,0.4700036292457348
